state,year,production,area,yield
Tripura,2016,921395.0,335602.0,2.7454991329014726
Tripura,2017,922813.0,339002.0,2.7221461820284247
Tripura,2018,897437.0,332524.0,2.698863841406936
Tripura,2019,914876.0,327706.0,2.791758466430276
Uttar Pradesh,2011,195007190.0,24115674.0,8.086325515927939
Uttar Pradesh,2013,207615192.0,24185514.0,8.584278671935605
Uttar Pradesh,2014,199414490.0,24146526.0,8.25851677380009
Uttar Pradesh,2015,205325526.0,23568213.0,8.711968361793064
Uttar Pradesh,2016,228730329.0,24433515.0,9.361335403440725
Uttar Pradesh,2017,254639565.0,24007072.0,10.60685638798434
Uttar Pradesh,2018,262594491.0,24220147.0,10.841985847567317
Uttar Pradesh,2019,259987253.0,24319229.0,10.690604253942425
Uttarakhand,2011,8359927.0,1055856.0,7.917677221136215
Uttarakhand,2013,8035719.0,1024264.0,7.84535920426765
Uttarakhand,2014,7930629.0,1024825.0,7.738520235162101
Uttarakhand,2015,7607838.0,1024372.0,7.426831268328303
Uttarakhand,2016,7525972.0,1008655.0,7.461393638062568
Uttarakhand,2017,8579194.0,983707.0,8.721289977605121
Uttarakhand,2018,8562287.0,953459.0,8.980236171665483
Uttarakhand,2019,9010708.0,944733.0,9.537835557771349
West Bengal,2011,36777774.0,7755360.0,4.742239431825215
West Bengal,2013,37901281.0,7999815.0,4.737769685923987
West Bengal,2014,43584403.0,8058390.0,5.408574541564755
West Bengal,2015,37421305.0,8238185.0,4.542421055123185
West Bengal,2016,42866468.0,7979540.0,5.372047511510688
West Bengal,2017,44008893.0,8286133.0,5.311149724485475
West Bengal,2018,39607351.0,8288954.0,4.778329207762524
West Bengal,2019,43030208.0,8477229.0,5.075975651949475
